Sr. No.,Name of the ARN Holder ,Gross Amount paid,Gross Inflows,Net Inflows,Average Assets under Management for FY 2018-19,Ratio of AUM to Gross inflows
1,3I WEALTH ADVISORS LLP,206.62,100427.78,-18016.47,32229.16,0.27
2,6TH SENSE INVESTMENTS CONSULTANTS,107.12,3922.48,1184.77,9296.01,2.52
3,A K Narayan,129.03,3736.58,1776.27,17304.91,4.94
4,A R J Financial Consultants India Private Limited,130.10,2656.18,957.96,9592.08,3.55
5,A.G. Financial Services,284.89,10503.39,-1607.86,38123.57,3.68
6,A.Makarand Govindrao,91.15,4181.28,439.29,10865.36,2.71
7,AADI WEALTH MANAGEMENT (P) LTD.,511.33,29216.33,-13318.57,53180.72,1.69
8,Aadinath Investment,262.29,63111.94,-2201.83,25862.94,0.45
9,Aahlada Securities Pvt Ltd,143.32,3867.69,1028.93,18344.37,5.02
10,Aalps Investment Advisory,402.05,77949.18,4102.18,48770.43,0.65
11,Abacus Corporation Private Limited,966.25,14557.69,4479.73,94274.53,6.68
12,Abchlor Investment Advisors (P) Ltd,395.59,20012.54,-194.04,36586.06,1.85
13,Abhenav Khettry,128.24,11976.70,1871.57,12905.11,1.19
14,Abhijit Shivanand Sawant,100.44,3555.04,1239.36,10119.71,3.07
15,Abhinav Mehta,119.32,5355.63,1152.32,12049.98,2.37
16,Abhishek Sunil Gupta,145.77,8924.48,1523.98,15610.06,1.90
17,Abm Investment,84.48,3155.93,1988.46,10564.23,3.80
18,ACCORD FINANCIAL SERVICES LLP,187.99,8586.50,5384.21,14977.12,2.07
19,ACE CAPITAL ADVISORS,55.69,9437.98,8222.22,10223.19,1.58
20,ACE FNSUPERMARKET PVT. LTD.,138.37,4280.57,1312.72,13324.05,4.89
21,Ace Wealth Management Private Limited,206.61,4194.20,1610.62,24260.80,6.32
22,ACE WEALTH MANAGERS,801.45,26279.31,12864.70,52327.68,2.28
23,ADDON INDIA PRIVATE LIMITED,93.51,6397.19,4940.16,2372.56,0.81
24,Addon Wealth Consultancy (P) Ltd.,190.35,3374.26,2089.32,11796.83,3.72
25,ADITYA & SONS,193.61,8638.73,2074.79,10587.09,1.23
26,ADITYA BIRLA FINANCE LIMITED,5259.28,37374254.35,-35536.15,1127337.79,0.03
27,ADITYA BIRLA MYUNIVERSE LIMITED,506.06,24833.49,13800.31,46669.52,2.23
28,Aditya Vinayak Joshi,106.69,8195.02,4523.89,10601.77,1.53
29,Adokshaja Krishnarao Kulkarni,94.28,24009.96,2334.53,3826.13,0.17
30,Adoni Venkatesh,82.63,597.35,-6714.02,5308.49,2.14
31,Affluenz Financial Services India Private Limited,135.88,7475.46,1012.93,27061.65,3.78
32,Ajay Kantibhai Shah,106.59,4352.20,808.33,11756.89,2.83
