Sr. No.,Name of the ARN Holder ,Gross Amount paid,Gross Inflows,Net Inflows,Average Assets under Management for FY 2018-19,Ratio of AUM to Gross inflows
1,3I WEALTH ADVISORS LLP,206.62,"            1,00,427.78","-18,016.47",32229.16,0.27
2,6TH SENSE INVESTMENTS CONSULTANTS,107.12,"3,922.48","1,184.77",9296.01,2.52
3,A K Narayan,129.03,"3,736.58","1,776.27",17304.91,4.94
4,A R J Financial Consultants India Private Limited,130.1,"2,656.18",957.96,9592.08,3.55
5,A.G. Financial Services,284.89,"10,503.39","-1,607.86",38123.57,3.68
6,A.Makarand Govindrao,91.15,"4,181.28",439.29,10865.36,2.71
7,AADI WEALTH MANAGEMENT (P) LTD.,511.33,"29,216.33","-13,318.57",53180.72,1.69
8,Aadinath Investment,262.29,"63,111.94","-2,201.83",25862.94,0.45
9,Aahlada Securities Pvt Ltd,143.32,"3,867.69","1,028.93",18344.37,5.02
10,Aalps Investment Advisory,402.05,"77,949.18","4,102.18",48770.43,0.65
11,Abacus Corporation Private Limited,966.25,"14,557.69","4,479.73",94274.53,6.68
12,Abchlor Investment Advisors (P) Ltd,395.59,"20,012.54",-194.04,36586.06,1.85
13,Abhenav Khettry,128.24,"11,976.70","1,871.57",12905.11,1.19
14,Abhijit Shivanand Sawant,100.44,"3,555.04","1,239.36",10119.71,3.07
15,Abhinav Mehta,119.32,"5,355.63","1,152.32",12049.98,2.37
16,Abhishek Sunil Gupta,145.77,"8,924.48","1,523.98",15610.06,1.9
17,Abm Investment,84.48,"3,155.93","1,988.46",10564.23,3.8
18,ACCORD FINANCIAL SERVICES LLP,187.99,"8,586.50","5,384.21",14977.12,2.07
19,ACE CAPITAL ADVISORS,55.69,"9,437.98","8,222.22",10223.19,1.58
20,ACE FNSUPERMARKET PVT. LTD.,138.37,"4,280.57","1,312.72",13324.05,4.89
21,Ace Wealth Management Private Limited,206.61,"4,194.20","1,610.62",24260.80,6.32
22,ACE WEALTH MANAGERS,801.45,"26,279.31","12,864.70",52327.68,2.28
23,ADDON INDIA PRIVATE LIMITED,93.51,"6,397.19","4,940.16",2372.56,0.81
24,Addon Wealth Consultancy (P) Ltd.,190.35,"3,374.26","2,089.32",11796.83,3.72
25,ADITYA & SONS,193.61,"8,638.73","2,074.79",10587.09,1.23
26,ADITYA BIRLA FINANCE LIMITED,"5,259.28","      3,73,74,254.35","-35,536.15","         11,27,337.79",0.03
27,ADITYA BIRLA MYUNIVERSE LIMITED,506.06,"24,833.49","13,800.31",46669.52,2.23
28,Aditya Vinayak Joshi,106.69,"8,195.02","4,523.89",10601.77,1.53
29,Adokshaja Krishnarao Kulkarni,94.28,"24,009.96","2,334.53",3826.13,0.17
