Scheme Code;Net Asset Value;Repurchase Price;Sale Price;Date
120488;3.9399;3.9399;3.9399;02-Jan-2013
120488;3.9649;3.9649;3.9649;03-Jan-2013
120488;3.9586;3.9586;3.9586;04-Jan-2013
120488;3.9546;3.9546;3.9546;07-Jan-2013
120488;3.9352;3.9352;3.9352;08-Jan-2013
120488;3.9338;3.9338;3.9338;09-Jan-2013
120488;3.9611;3.9611;3.9611;10-Jan-2013
120488;3.9219;3.9219;3.9219;11-Jan-2013
120488;3.9536;3.9536;3.9536;14-Jan-2013
120488;3.9863;3.9863;3.9863;15-Jan-2013
120488;3.9113;3.9113;3.9113;16-Jan-2013
120488;3.9326;3.9326;3.9326;17-Jan-2013
120488;3.9344;3.9344;3.9344;18-Jan-2013
120488;3.9585;3.9585;3.9585;21-Jan-2013
120488;3.9216;3.9216;3.9216;22-Jan-2013
120488;3.9031;3.9031;3.9031;23-Jan-2013
120488;3.8521;3.8521;3.8521;24-Jan-2013
120488;3.9240;3.9240;3.9240;25-Jan-2013
120488;3.9702;3.9702;3.9702;28-Jan-2013
120488;3.9297;3.9297;3.9297;29-Jan-2013
120488;3.9260;3.9260;3.9260;30-Jan-2013
120488;3.9080;3.9080;3.9080;31-Jan-2013
120488;3.8860;3.8860;3.8860;01-Feb-2013
120488;3.8795;3.8795;3.8795;04-Feb-2013
120488;3.8507;3.8507;3.8507;05-Feb-2013
120488;3.8782;3.8782;3.8782;06-Feb-2013
120488;3.8699;3.8699;3.8699;07-Feb-2013
120488;3.8468;3.8468;3.8468;08-Feb-2013
120488;3.8372;3.8372;3.8372;11-Feb-2013
120488;3.8428;3.8428;3.8428;12-Feb-2013
120488;3.8265;3.8265;3.8265;13-Feb-2013
120488;3.7654;3.7654;3.7654;14-Feb-2013
120488;3.7606;3.7606;3.7606;15-Feb-2013
120488;3.7677;3.7677;3.7677;18-Feb-2013
120488;3.8176;3.8176;3.8176;19-Feb-2013
120488;3.7974;3.7974;3.7974;20-Feb-2013
120488;3.7041;3.7041;3.7041;21-Feb-2013
120488;3.6993;3.6993;3.6993;22-Feb-2013
120488;3.6912;3.6912;3.6912;25-Feb-2013
120488;3.5910;3.5910;3.5910;26-Feb-2013
120488;3.6472;3.6472;3.6472;27-Feb-2013
120488;3.5700;3.5700;3.5700;28-Feb-2013
120488;3.5979;3.5979;3.5979;01-Mar-2013
120488;3.5645;3.5645;3.5645;04-Mar-2013
120488;3.6389;3.6389;3.6389;05-Mar-2013
120488;3.6943;3.6943;3.6943;06-Mar-2013
120488;3.7177;3.7177;3.7177;07-Mar-2013
120488;3.7572;3.7572;3.7572;08-Mar-2013
120488;3.7550;3.7550;3.7550;11-Mar-2013
120488;3.7352;3.7352;3.7352;12-Mar-2013
120488;3.6629;3.6629;3.6629;13-Mar-2013
120488;3.7078;3.7078;3.7078;14-Mar-2013
120488;3.6753;3.6753;3.6753;15-Mar-2013
120488;3.6081;3.6081;3.6081;18-Mar-2013
120488;3.5391;3.5391;3.5391;19-Mar-2013
120488;3.4768;3.4768;3.4768;20-Mar-2013
120488;3.4216;3.4216;3.4216;21-Mar-2013
120488;3.4378;3.4378;3.4378;22-Mar-2013
120488;3.3983;3.3983;3.3983;25-Mar-2013
120488;3.4059;3.4059;3.4059;26-Mar-2013
120488;3.4262;3.4262;3.4262;28-Mar-2013
120488;3.4405;3.4405;3.4405;01-Apr-2013
120488;3.4665;3.4665;3.4665;02-Apr-2013
120488;3.3913;3.3913;3.3913;03-Apr-2013
120488;3.3719;3.3719;3.3719;04-Apr-2013
120488;3.3948;3.3948;3.3948;05-Apr-2013
120488;3.4037;3.4037;3.4037;08-Apr-2013
120488;3.3967;3.3967;3.3967;09-Apr-2013
120488;3.4335;3.4335;3.4335;10-Apr-2013
120488;3.4546;3.4546;3.4546;11-Apr-2013
120488;3.4680;3.4680;3.4680;12-Apr-2013
120488;3.4813;3.4813;3.4813;15-Apr-2013
120488;3.5816;3.5816;3.5816;16-Apr-2013
120488;3.5942;3.5942;3.5942;17-Apr-2013
120488;3.6702;3.6702;3.6702;18-Apr-2013
120488;3.6872;3.6872;3.6872;22-Apr-2013
120488;3.6884;3.6884;3.6884;23-Apr-2013
120488;3.7617;3.7617;3.7617;25-Apr-2013
120488;3.7560;3.7560;3.7560;26-Apr-2013
120488;3.7700;3.7700;3.7700;29-Apr-2013
120488;3.7584;3.7584;3.7584;30-Apr-2013
120488;3.7842;3.7842;3.7842;02-May-2013
120488;3.7210;3.7210;3.7210;03-May-2013
120488;3.7457;3.7457;3.7457;06-May-2013
120488;3.7989;3.7989;3.7989;07-May-2013
120488;3.7836;3.7836;3.7836;08-May-2013
120488;3.7659;3.7659;3.7659;09-May-2013
120488;3.8154;3.8154;3.8154;10-May-2013
120488;3.7399;3.7399;3.7399;13-May-2013
120488;3.7380;3.7380;3.7380;14-May-2013
120488;3.8386;3.8386;3.8386;15-May-2013
120488;3.8854;3.8854;3.8854;16-May-2013
120488;3.8894;3.8894;3.8894;17-May-2013
120488;3.8629;3.8629;3.8629;20-May-2013
120488;3.8029;3.8029;3.8029;21-May-2013
120488;3.7773;3.7773;3.7773;22-May-2013
120488;3.6999;3.6999;3.6999;23-May-2013
120488;3.7434;3.7434;3.7434;24-May-2013
120488;3.7785;3.7785;3.7785;27-May-2013
120488;3.8073;3.8073;3.8073;28-May-2013
120488;3.7902;3.7902;3.7902;29-May-2013
120488;3.7651;3.7651;3.7651;30-May-2013
120488;3.6765;3.6765;3.6765;31-May-2013
120488;3.6639;3.6639;3.6639;03-Jun-2013
120488;3.6524;3.6524;3.6524;04-Jun-2013
120488;3.6505;3.6505;3.6505;05-Jun-2013
120488;3.6700;3.6700;3.6700;06-Jun-2013
120488;3.6563;3.6563;3.6563;07-Jun-2013
120488;3.6190;3.6190;3.6190;10-Jun-2013
120488;3.5553;3.5553;3.5553;11-Jun-2013
120488;3.5484;3.5484;3.5484;12-Jun-2013
120488;3.4825;3.4825;3.4825;13-Jun-2013
120488;3.5698;3.5698;3.5698;14-Jun-2013
120488;3.5862;3.5862;3.5862;17-Jun-2013
120488;3.5716;3.5716;3.5716;18-Jun-2013
120488;3.5855;3.5855;3.5855;19-Jun-2013
120488;3.4699;3.4699;3.4699;20-Jun-2013
120488;3.4704;3.4704;3.4704;21-Jun-2013
120488;3.4124;3.4124;3.4124;24-Jun-2013
120488;3.4244;3.4244;3.4244;25-Jun-2013
120488;3.4077;3.4077;3.4077;26-Jun-2013
120488;3.4320;3.4320;3.4320;27-Jun-2013
120488;3.5198;3.5198;3.5198;28-Jun-2013
120488;3.5692;3.5692;3.5692;01-Jul-2013
120488;3.5529;3.5529;3.5529;02-Jul-2013
120488;3.4529;3.4529;3.4529;03-Jul-2013
120488;3.4816;3.4816;3.4816;04-Jul-2013
120488;3.5086;3.5086;3.5086;05-Jul-2013
120488;3.4694;3.4694;3.4694;08-Jul-2013
120488;3.4949;3.4949;3.4949;09-Jul-2013
120488;3.4868;3.4868;3.4868;10-Jul-2013
120488;3.5354;3.5354;3.5354;11-Jul-2013
120488;3.5874;3.5874;3.5874;12-Jul-2013
120488;3.5941;3.5941;3.5941;15-Jul-2013
120488;3.4617;3.4617;3.4617;16-Jul-2013
120488;3.4157;3.4157;3.4157;17-Jul-2013
120488;3.4581;3.4581;3.4581;18-Jul-2013
120488;3.4650;3.4650;3.4650;19-Jul-2013
120488;3.4507;3.4507;3.4507;22-Jul-2013
120488;3.4998;3.4998;3.4998;23-Jul-2013
120488;3.3907;3.3907;3.3907;24-Jul-2013
120488;3.3323;3.3323;3.3323;25-Jul-2013
120488;3.3150;3.3150;3.3150;26-Jul-2013
120488;3.2952;3.2952;3.2952;29-Jul-2013
120488;3.2419;3.2419;3.2419;30-Jul-2013
120488;3.2312;3.2312;3.2312;31-Jul-2013
120488;3.1784;3.1784;3.1784;01-Aug-2013
120488;3.1186;3.1186;3.1186;02-Aug-2013
120488;3.1438;3.1438;3.1438;05-Aug-2013
120488;3.0671;3.0671;3.0671;06-Aug-2013
120488;3.0936;3.0936;3.0936;07-Aug-2013
120488;3.1034;3.1034;3.1034;08-Aug-2013
120488;3.1255;3.1255;3.1255;12-Aug-2013
120488;3.2049;3.2049;3.2049;13-Aug-2013
120488;3.2303;3.2303;3.2303;14-Aug-2013
120488;3.1002;3.1002;3.1002;16-Aug-2013
120488;3.0065;3.0065;3.0065;19-Aug-2013
120488;2.9861;2.9861;2.9861;20-Aug-2013
120488;2.9536;2.9536;2.9536;21-Aug-2013
120488;3.0010;3.0010;3.0010;22-Aug-2013
120488;3.0892;3.0892;3.0892;23-Aug-2013
120488;3.0487;3.0487;3.0487;26-Aug-2013
120488;2.9147;2.9147;2.9147;27-Aug-2013
120488;2.8901;2.8901;2.8901;28-Aug-2013
120488;2.9534;2.9534;2.9534;29-Aug-2013
120488;2.9513;2.9513;2.9513;30-Aug-2013
120488;2.9782;2.9782;2.9782;02-Sep-2013
120488;2.8937;2.8937;2.8937;03-Sep-2013
120488;2.9572;2.9572;2.9572;04-Sep-2013
120488;3.0916;3.0916;3.0916;05-Sep-2013
120488;3.1556;3.1556;3.1556;06-Sep-2013
120488;3.2612;3.2612;3.2612;10-Sep-2013
120488;3.2726;3.2726;3.2726;11-Sep-2013
120488;3.2184;3.2184;3.2184;12-Sep-2013
120488;3.2477;3.2477;3.2477;13-Sep-2013
120488;3.2462;3.2462;3.2462;16-Sep-2013
120488;3.2600;3.2600;3.2600;17-Sep-2013
120488;3.3123;3.3123;3.3123;18-Sep-2013
120488;3.5037;3.5037;3.5037;19-Sep-2013
120488;3.4152;3.4152;3.4152;20-Sep-2013
120488;3.3240;3.3240;3.3240;23-Sep-2013
120488;3.3304;3.3304;3.3304;24-Sep-2013
120488;3.3278;3.3278;3.3278;25-Sep-2013
120488;3.3254;3.3254;3.3254;26-Sep-2013
120488;3.2811;3.2811;3.2811;27-Sep-2013
120488;3.2155;3.2155;3.2155;30-Sep-2013
120488;3.2415;3.2415;3.2415;01-Oct-2013
120488;3.3341;3.3341;3.3341;03-Oct-2013
120488;3.3315;3.3315;3.3315;04-Oct-2013
120488;3.3397;3.3397;3.3397;07-Oct-2013
120488;3.3703;3.3703;3.3703;08-Oct-2013
120488;3.4121;3.4121;3.4121;09-Oct-2013
120488;3.4521;3.4521;3.4521;10-Oct-2013
120488;3.5108;3.5108;3.5108;11-Oct-2013
120488;3.5030;3.5030;3.5030;14-Oct-2013
120488;3.4665;3.4665;3.4665;15-Oct-2013
120488;3.4190;3.4190;3.4190;17-Oct-2013
120488;3.4967;3.4967;3.4967;18-Oct-2013
120488;3.5460;3.5460;3.5460;21-Oct-2013
120488;3.5547;3.5547;3.5547;22-Oct-2013
120488;3.5459;3.5459;3.5459;23-Oct-2013
120488;3.5593;3.5593;3.5593;24-Oct-2013
120488;3.5279;3.5279;3.5279;25-Oct-2013
120488;3.5045;3.5045;3.5045;28-Oct-2013
120488;3.6050;3.6050;3.6050;29-Oct-2013
120488;3.6432;3.6432;3.6432;30-Oct-2013
120488;3.6472;3.6472;3.6472;31-Oct-2013
120488;3.7141;3.7141;3.7141;01-Nov-2013
120488;3.6848;3.6848;3.6848;05-Nov-2013
120488;3.6602;3.6602;3.6602;06-Nov-2013
120488;3.6149;3.6149;3.6149;07-Nov-2013
120488;3.6204;3.6204;3.6204;08-Nov-2013
120488;3.5699;3.5699;3.5699;11-Nov-2013
120488;3.5301;3.5301;3.5301;12-Nov-2013
120488;3.5296;3.5296;3.5296;13-Nov-2013
120488;3.6229;3.6229;3.6229;14-Nov-2013
120488;3.7032;3.7032;3.7032;18-Nov-2013
120488;3.7255;3.7255;3.7255;19-Nov-2013
120488;3.6744;3.6744;3.6744;20-Nov-2013
120488;3.5917;3.5917;3.5917;21-Nov-2013
120488;3.5932;3.5932;3.5932;22-Nov-2013
120488;3.6763;3.6763;3.6763;25-Nov-2013
120488;3.6727;3.6727;3.6727;26-Nov-2013
120488;3.6760;3.6760;3.6760;27-Nov-2013
120488;3.7035;3.7035;3.7035;28-Nov-2013
120488;3.7615;3.7615;3.7615;29-Nov-2013
120488;3.8021;3.8021;3.8021;02-Dec-2013
120488;3.7838;3.7838;3.7838;03-Dec-2013
120488;3.7348;3.7348;3.7348;04-Dec-2013
120488;3.8283;3.8283;3.8283;05-Dec-2013
120488;3.8355;3.8355;3.8355;06-Dec-2013
120488;3.9214;3.9214;3.9214;09-Dec-2013
120488;3.8549;3.8549;3.8549;10-Dec-2013
120488;3.8074;3.8074;3.8074;11-Dec-2013
120488;3.7314;3.7314;3.7314;12-Dec-2013
120488;3.6835;3.6835;3.6835;13-Dec-2013
120488;3.6953;3.6953;3.6953;16-Dec-2013
120488;3.6974;3.6974;3.6974;17-Dec-2013
120488;3.7502;3.7502;3.7502;18-Dec-2013
120488;3.7036;3.7036;3.7036;19-Dec-2013
120488;3.7830;3.7830;3.7830;20-Dec-2013
120488;3.8127;3.8127;3.8127;23-Dec-2013
120488;3.8160;3.8160;3.8160;24-Dec-2013
120488;3.8024;3.8024;3.8024;26-Dec-2013
120488;3.8225;3.8225;3.8225;27-Dec-2013
120488;3.7897;3.7897;3.7897;30-Dec-2013
120488;3.8227;3.8227;3.8227;31-Dec-2013
120488;3.8218;3.8218;3.8218;01-Jan-2014
120488;3.7389;3.7389;3.7389;02-Jan-2014
120488;3.7024;3.7024;3.7024;03-Jan-2014
120488;3.6864;3.6864;3.6864;06-Jan-2014
120488;3.6729;3.6729;3.6729;07-Jan-2014
120488;3.6762;3.6762;3.6762;08-Jan-2014
120488;3.6610;3.6610;3.6610;09-Jan-2014
120488;3.6368;3.6368;3.6368;10-Jan-2014
120488;3.6846;3.6846;3.6846;13-Jan-2014
120488;3.6661;3.6661;3.6661;14-Jan-2014
120488;3.7165;3.7165;3.7165;15-Jan-2014
120488;3.6924;3.6924;3.6924;16-Jan-2014
120488;3.6557;3.6557;3.6557;17-Jan-2014
120488;3.6741;3.6741;3.6741;20-Jan-2014
120488;3.7071;3.7071;3.7071;21-Jan-2014
120488;3.7137;3.7137;3.7137;22-Jan-2014
120488;3.6999;3.6999;3.6999;23-Jan-2014
120488;3.6292;3.6292;3.6292;24-Jan-2014
120488;3.5083;3.5083;3.5083;27-Jan-2014
120488;3.5323;3.5323;3.5323;28-Jan-2014
120488;3.5262;3.5262;3.5262;29-Jan-2014
120488;3.4818;3.4818;3.4818;30-Jan-2014
120488;3.5121;3.5121;3.5121;31-Jan-2014
120488;3.4520;3.4520;3.4520;03-Feb-2014
120488;3.4598;3.4598;3.4598;04-Feb-2014
120488;3.5090;3.5090;3.5090;05-Feb-2014
120488;3.5301;3.5301;3.5301;06-Feb-2014
120488;3.5571;3.5571;3.5571;07-Feb-2014
120488;3.5803;3.5803;3.5803;10-Feb-2014
120488;3.6074;3.6074;3.6074;11-Feb-2014
120488;3.6276;3.6276;3.6276;12-Feb-2014
120488;3.5538;3.5538;3.5538;13-Feb-2014
120488;3.5811;3.5811;3.5811;14-Feb-2014
120488;3.6227;3.6227;3.6227;17-Feb-2014
120488;3.6512;3.6512;3.6512;18-Feb-2014
120488;3.6609;3.6609;3.6609;19-Feb-2014
120488;3.6375;3.6375;3.6375;20-Feb-2014
120488;3.6773;3.6773;3.6773;21-Feb-2014
120488;3.7074;3.7074;3.7074;24-Feb-2014
120488;3.7118;3.7118;3.7118;25-Feb-2014
120488;3.7315;3.7315;3.7315;26-Feb-2014
120488;3.7988;3.7988;3.7988;28-Feb-2014
120488;3.7591;3.7591;3.7591;03-Mar-2014
120488;3.8280;3.8280;3.8280;04-Mar-2014
120488;3.8719;3.8719;3.8719;05-Mar-2014
120488;3.9427;3.9427;3.9427;06-Mar-2014
120488;4.0186;4.0186;4.0186;07-Mar-2014
120488;4.0465;4.0465;4.0465;10-Mar-2014
120488;4.0421;4.0421;4.0421;11-Mar-2014
120488;4.0030;4.0030;4.0030;12-Mar-2014
120488;4.0319;4.0319;4.0319;13-Mar-2014
120488;4.0518;4.0518;4.0518;14-Mar-2014
120488;4.0424;4.0424;4.0424;18-Mar-2014
120488;4.0331;4.0331;4.0331;19-Mar-2014
120488;4.0016;4.0016;4.0016;20-Mar-2014
120488;3.9788;3.9788;3.9788;21-Mar-2014
120488;4.0682;4.0682;4.0682;24-Mar-2014
120488;4.0810;4.0810;4.0810;25-Mar-2014
120488;4.1227;4.1227;4.1227;26-Mar-2014
120488;4.1437;4.1437;4.1437;27-Mar-2014
120488;4.2079;4.2079;4.2079;28-Mar-2014
120488;4.1784;4.1784;4.1784;31-Mar-2014
120488;4.1840;4.1840;4.1840;01-Apr-2014
120488;4.2658;4.2658;4.2658;02-Apr-2014
120488;4.2140;4.2140;4.2140;03-Apr-2014
120488;4.2010;4.2010;4.2010;04-Apr-2014
120488;4.1917;4.1917;4.1917;07-Apr-2014
120488;4.2473;4.2473;4.2473;09-Apr-2014
120488;4.2424;4.2424;4.2424;10-Apr-2014
120488;4.2191;4.2191;4.2191;11-Apr-2014
120488;4.1586;4.1586;4.1586;15-Apr-2014
120488;4.0888;4.0888;4.0888;16-Apr-2014
120488;4.1683;4.1683;4.1683;17-Apr-2014
120488;4.2330;4.2330;4.2330;21-Apr-2014
120488;4.2325;4.2325;4.2325;22-Apr-2014
120488;4.2530;4.2530;4.2530;23-Apr-2014
120488;4.2441;4.2441;4.2441;25-Apr-2014
120488;4.2474;4.2474;4.2474;28-Apr-2014
120488;4.2091;4.2091;4.2091;29-Apr-2014
120488;4.1896;4.1896;4.1896;30-Apr-2014
120488;4.2225;4.2225;4.2225;02-May-2014
120488;4.2294;4.2294;4.2294;05-May-2014
120488;4.2662;4.2662;4.2662;06-May-2014
120488;4.2397;4.2397;4.2397;07-May-2014
120488;4.2634;4.2634;4.2634;08-May-2014
120488;4.4177;4.4177;4.4177;09-May-2014
120488;4.5242;4.5242;4.5242;12-May-2014
120488;4.5951;4.5951;4.5951;13-May-2014
120488;4.5998;4.5998;4.5998;14-May-2014
120488;4.5756;4.5756;4.5756;15-May-2014
120488;4.7160;4.7160;4.7160;16-May-2014
120488;4.8894;4.8894;4.8894;19-May-2014
120488;4.8427;4.8427;4.8427;20-May-2014
120488;4.8433;4.8433;4.8433;21-May-2014
120488;4.8750;4.8750;4.8750;22-May-2014
120488;4.9786;4.9786;4.9786;23-May-2014
120488;4.9544;4.9544;4.9544;26-May-2014
120488;4.8931;4.8931;4.8931;27-May-2014
120488;4.9230;4.9230;4.9230;28-May-2014
120488;4.8376;4.8376;4.8376;29-May-2014
120488;4.8293;4.8293;4.8293;30-May-2014
120488;4.9911;4.9911;4.9911;02-Jun-2014
120488;5.0481;5.0481;5.0481;03-Jun-2014
120488;5.1074;5.1074;5.1074;04-Jun-2014
120488;5.1461;5.1461;5.1461;05-Jun-2014
120488;5.2431;5.2431;5.2431;06-Jun-2014
120488;5.2760;5.2760;5.2760;09-Jun-2014
120488;5.2194;5.2194;5.2194;10-Jun-2014
120488;5.1344;5.1344;5.1344;11-Jun-2014
