Scheme Code;Net Asset Value;Repurchase Price;Sale Price;Date
100520;116.1800;116.1800;118.8500;03-Apr-2006
100520;116.5700;116.5700;119.2500;04-Apr-2006
100520;118.1500;118.1500;120.8700;05-Apr-2006
100520;116.1500;116.1500;118.8200;07-Apr-2006
100520;117.0900;117.0900;119.7900;10-Apr-2006
100520;114.65;114.65;117.23;12-Apr-2006
100520;112.1300;112.1300;114.7100;13-Apr-2006
100520;115.3000;115.3000;117.9500;17-Apr-2006
100520;117.8600;117.8600;120.5700;18-Apr-2006
100520;117.5100;117.5100;120.2100;19-Apr-2006
100520;119.1100;119.1100;121.8500;20-Apr-2006
100520;119.6000;119.6000;122.3500;21-Apr-2006
100520;119.0500;119.0500;121.7900;24-Apr-2006
100520;116.7600;116.7600;119.4500;25-Apr-2006
100520;118.8400;118.8400;121.5800;26-Apr-2006
100520;118.5600;118.5600;121.2900;27-Apr-2006
100520;118.47;118.47;121.2;28-Apr-2006
100520;122.1900;122.1900;125.0000;02-May-2006
100520;122.8600;122.8600;125.6900;03-May-2006
100520;123.4900;123.4900;126.3300;04-May-2006
100520;123.6200;123.6200;126.4700;05-May-2006
100520;123.6400;123.6400;126.4900;08-May-2006
100520;124.2700;124.2700;127.1300;09-May-2006
100520;124.4300;124.4300;127.2900;10-May-2006
100520;123.46;123.46;126.3;11-May-2006
100520;122.4200;122.4200;125.2400;12-May-2006
100520;117.8100;117.8100;120.5200;15-May-2006
100520;117.4300;117.4300;120.1300;16-May-2006
100520;119.7100;119.7100;122.4700;17-May-2006
100520;112.2700;112.2700;114.8500;18-May-2006
100520;108.25;108.25;110.69;19-May-2006
100520;108.25;108.25;110.69;20-May-2006
100520;102.8000;102.8000;105.1700;22-May-2006
100520;106.1600;106.1600;108.6000;23-May-2006
100520;104.4700;104.4700;106.8700;24-May-2006
100520;103.9500;103.9500;106.3400;25-May-2006
100520;105.6200;105.6200;108.0500;26-May-2006
100520;106.8700;106.8700;109.3300;29-May-2006
100520;106.3300;106.3300;108.7800;30-May-2006
100520;102.75;102.75;105.12;31-May-2006
100520;99.0800;99.0800;101.3600;01-Jun-2006
100520;101.7600;101.7600;104.1000;02-Jun-2006
100520;100.0500;100.0500;102.3500;05-Jun-2006
100520;97.5200;97.5200;99.7600;06-Jun-2006
100520;94.1900;94.1900;96.3600;07-Jun-2006
100520;89.3400;89.3400;91.4000;08-Jun-2006
100520;93.9600;93.9600;96.1200;09-Jun-2006
100520;91.7100;91.7100;93.8200;12-Jun-2006
100520;87.6600;87.6600;89.6800;13-Jun-2006
100520;84.7800;84.7800;86.7300;14-Jun-2006
100520;90.9900;90.9900;93.0800;15-Jun-2006
100520;93.53;93.53;95.64;16-Jun-2006
100520;94.99;94.99;97.13;19-Jun-2006
100520;94.18;94.18;96.30;20-Jun-2006
100520;95.73;95.73;97.88;21-Jun-2006
100520;98.49;98.49;100.71;22-Jun-2006
100520;99.13;99.13;101.36;23-Jun-2006
100520;95.36;95.36;97.51;26-Jun-2006
100520;95.26;95.26;97.40;27-Jun-2006
