Scheme Code;Net Asset Value;Repurchase Price;Sale Price;Date
100473;201.7500;201.7500;206.3900;03-Apr-2006
100473;201.5300;201.5300;206.1700;04-Apr-2006
100473;205.6400;205.6400;210.3700;05-Apr-2006
100473;203.0900;203.0900;207.7600;07-Apr-2006
100473;203.2800;203.2800;207.9600;10-Apr-2006
100473;199.23;199.23;203.72;12-Apr-2006
100473;194.3200;194.3200;198.7900;13-Apr-2006
100473;197.8600;197.8600;202.4100;17-Apr-2006
100473;199.8200;199.8200;204.4200;18-Apr-2006
100473;200.7900;200.7900;205.4100;19-Apr-2006
100473;202.0500;202.0500;206.7000;20-Apr-2006
100473;201.0300;201.0300;205.6600;21-Apr-2006
100473;201.5000;201.5000;206.1400;24-Apr-2006
100473;199.1900;199.1900;203.7700;25-Apr-2006
100473;201.5400;201.5400;206.1800;26-Apr-2006
100473;202.7400;202.7400;207.4100;27-Apr-2006
100473;203.46;203.46;208.14;28-Apr-2006
100473;209.2700;209.2700;214.0900;02-May-2006
100473;209.6700;209.6700;214.5000;03-May-2006
100473;211.0200;211.0200;215.8800;04-May-2006
100473;210.4000;210.4000;215.2400;05-May-2006
100473;210.3000;210.3000;215.1400;08-May-2006
100473;211.2200;211.2200;216.0800;09-May-2006
100473;211.4900;211.4900;216.3600;10-May-2006
100473;209.96;209.96;214.79;11-May-2006
100473;209.0800;209.0800;213.8900;12-May-2006
100473;201.1300;201.1300;205.7600;15-May-2006
100473;200.4800;200.4800;205.0900;16-May-2006
100473;204.9400;204.9400;209.6600;17-May-2006
100473;194.4300;194.4300;198.9100;18-May-2006
100473;188.0200;188.0200;192.3500;19-May-2006
100473;179.1400;179.1400;183.2600;22-May-2006
100473;184.2000;184.2000;188.4400;23-May-2006
100473;183.4500;183.4500;187.6700;24-May-2006
100473;181.5200;181.5200;185.7000;25-May-2006
100473;183.1100;183.1100;187.3200;26-May-2006
100473;184.8500;184.8500;189.1000;29-May-2006
100473;183.6000;183.6000;187.8300;30-May-2006
100473;179.48;179.48;183.61;31-May-2006
100473;173.9000;173.9000;177.9000;01-Jun-2006
100473;173.5500;173.5500;177.5400;02-Jun-2006
100473;170.9600;170.9600;174.9000;05-Jun-2006
100473;166.1000;166.1000;169.9200;06-Jun-2006
100473;157.1800;157.1800;160.8000;07-Jun-2006
100473;143.7400;143.7400;147.0500;08-Jun-2006
100473;154.5200;154.5200;158.0800;09-Jun-2006
100473;153.8100;153.8100;157.3500;12-Jun-2006
100473;144.5100;144.5100;147.8400;13-Jun-2006
100473;139.5500;139.5500;142.7600;14-Jun-2006
100473;147.0500;147.0500;150.4300;15-Jun-2006
100473;151.08;151.08;154.48;16-Jun-2006
100473;153.86;153.86;157.32;19-Jun-2006
100473;153.11;153.11;156.55;20-Jun-2006
100473;157.47;157.47;161.01;21-Jun-2006
100473;160.50;160.50;164.11;22-Jun-2006
100473;162.64;162.64;166.30;23-Jun-2006
100473;158.13;158.13;161.69;26-Jun-2006
100473;156.29;156.29;159.81;27-Jun-2006
100473;155.1;155.1;158.59;28-Jun-2006
100473;156.0400;156.0400;159.5509;29-Jun-2006
100473;162.06;162.06;165.71;30-Jun-2006
100473;162.61;162.61;166.27;03-Jul-2006
100473;161.8200;161.82;165.46;04-Jul-2006
100473;163.1000;163.10;166.77;05-Jul-2006
100473;162.17;162.17;165.82;06-Jul-2006
100473;160.11;160.11;163.80;07-Jul-2006
100473;160.72;160.72;164.42;10-Jul-2006
100473;160.73;160.73;164.35;11-Jul-2006
100473;161.41;158.18;165.04;12-Jul-2006
100473;160.92;157.7;164.54;13-Jul-2006
100473;160.14;156.94;163.74;14-Jul-2006
100473;157.12;157.12;160.66;17-Jul-2006
100473;154.62;151.53;158.10;18-Jul-2006
100473;151.14;148.12;154.54;19-Jul-2006
100473;150.05;147.05;153.43;21-Jul-2006
100473;149.47;146.48;152.83;24-Jul-2006
100473;152.4;149.35;155.83;25-Jul-2006
100473;155.52;152.41;159.02;26-Jul-2006
100473;158.46;155.29;162.03;27-Jul-2006
100473;159.49;156.3;163.08;28-Jul-2006
100473;161.08;157.86;164.70;31-Jul-2006
100473;160.48;157.27;164.09;01-Aug-2006
100473;161.99;158.75;165.63;02-Aug-2006
100473;162.72;159.47;166.38;03-Aug-2006
100473;162.00;158.76;165.65;04-Aug-2006
100473;162.11;158.87;165.76;07-Aug-2006
100473;163.58;160.31;167.26;08-Aug-2006
100473;166.85;163.51;170.60;09-Aug-2006
100473;168.73;165.36;172.53;10-Aug-2006
100473;169.89;166.49;173.71;11-Aug-2006
100473;172.50;169.05;176.38;14-Aug-2006
100473;173.74;170.27;177.65;16-Aug-2006
100473;172.82;169.36;176.71;17-Aug-2006
100473;173.86;170.38;177.77;18-Aug-2006
100473;175.39;171.88;179.34;21-Aug-2006
100473;175.26;171.75;179.20;22-Aug-2006
100473;172.81;169.35;176.70;23-Aug-2006
100473;173.68;170.21;177.59;24-Aug-2006
100473;175.23;171.73;179.17;25-Aug-2006
100473;175.92;172.40;179.88;28-Aug-2006
100473;175.55;172.04;179.50;29-Aug-2006
100473;175.33;171.82;179.27;30-Aug-2006
100473;174.84;171.34;178.77;31-Aug-2006
100473;176.04;172.52;180.00;01-Sep-2006
100473;178.39;174.82;182.40;04-Sep-2006
100473;180.31;176.70;184.37;05-Sep-2006
100473;182.77;179.11;186.88;06-Sep-2006
100473;182.77;179.11;186.88;07-Sep-2006
100473;183.29;179.62;187.41;08-Sep-2006
100473;177.98;174.42;181.98;11-Sep-2006
100473;178.03;174.47;182.04;12-Sep-2006
100473;181.16;177.54;185.24;13-Sep-2006
100473;180.95;177.33;185.02;14-Sep-2006
100473;181.49;177.86;185.57;15-Sep-2006
