Scheme Code;Net Asset Value;Repurchase Price;Sale Price;Date
107247;10.0020;0.0000;10.0000;19-Dec-2007
107247;10.0043;0.0000;10.0000;20-Dec-2007
107247;10.0136;10.0136;10.0136;24-Dec-2007
107247;10.0179;9.9929;10.0179;26-Dec-2007
107247;10.0199;9.9949;10.0199;27-Dec-2007
107247;10.0217;9.9966;10.0217;28-Dec-2007
107247;10.0275;10.0024;10.0275;31-Dec-2007
107247;10.0296;10.0045;10.0296;01-Jan-2008
107247;10.0319;10.0068;10.0319;02-Jan-2008
107247;10.0341;10.0090;10.0341;03-Jan-2008
107247;10.0416;10.0165;10.0416;04-Jan-2008
107247;10.0448;10.0197;10.0448;07-Jan-2008
107247;10.0471;10.0220;10.0471;08-Jan-2008
107247;10.0567;10.0316;10.0567;09-Jan-2008
107247;10.0591;10.0340;10.0591;10-Jan-2008
107247;10.0614;10.0362;10.0614;11-Jan-2008
107247;10.0705;10.0453;10.0705;14-Jan-2008
107247;10.0728;10.0476;10.0728;15-Jan-2008
107247;10.0780;10.0528;10.0780;16-Jan-2008
107247;10.0802;10.0550;10.0802;17-Jan-2008
107247;10.0827;10.0575;10.0827;18-Jan-2008
107247;10.0890;10.0638;10.0890;21-Jan-2008
107247;10.0953;10.0701;10.0953;22-Jan-2008
107247;10.0976;10.0724;10.0976;23-Jan-2008
107247;10.1001;10.0748;10.1001;24-Jan-2008
107247;10.1028;10.0775;10.1028;25-Jan-2008
107247;10.1103;10.0850;10.1103;28-Jan-2008
107247;10.1133;10.0880;10.1133;29-Jan-2008
107247;10.1157;10.0904;10.1157;30-Jan-2008
107247;10.1182;10.0929;10.1182;31-Jan-2008
107247;10.1240;10.0987;10.1240;01-Feb-2008
107247;10.1311;10.1058;10.1311;04-Feb-2008
107247;10.1336;10.1083;10.1336;05-Feb-2008
107247;10.1360;10.1107;10.1360;06-Feb-2008
107247;10.1381;10.1128;10.1381;07-Feb-2008
107247;10.1418;10.1164;10.1418;08-Feb-2008
