Scheme Code;Net Asset Value;Repurchase Price;Sale Price;Date
100471;Franklin India Bluechip Fund-Growth;114.8400;114.8400;117.4800;03-Apr-2006
100471;Franklin India Bluechip Fund-Growth;115.1600;115.1600;117.8100;04-Apr-2006
100471;Franklin India Bluechip Fund-Growth;116.5900;116.5900;119.2700;05-Apr-2006
100471;Franklin India Bluechip Fund-Growth;115.9200;115.9200;118.5900;07-Apr-2006
100471;Franklin India Bluechip Fund-Growth;116.3300;116.3300;119.0100;10-Apr-2006
100471;Franklin India Bluechip Fund-Growth;113.17;113.17;115.71;12-Apr-2006
100471;Franklin India Bluechip Fund-Growth;111.5100;111.5100;114.0800;13-Apr-2006
100471;Franklin India Bluechip Fund-Growth;115.0500;115.0500;117.7000;17-Apr-2006
100471;Franklin India Bluechip Fund-Growth;116.8100;116.8100;119.5000;18-Apr-2006
100471;Franklin India Bluechip Fund-Growth;116.2600;116.2600;118.9400;19-Apr-2006
100471;Franklin India Bluechip Fund-Growth;117.3600;117.3600;120.0600;20-Apr-2006
100471;Franklin India Bluechip Fund-Growth;117.8700;117.8700;120.5800;21-Apr-2006
100471;Franklin India Bluechip Fund-Growth;117.4700;117.4700;120.1700;24-Apr-2006
100471;Franklin India Bluechip Fund-Growth;115.1900;115.1900;117.8400;25-Apr-2006
100471;Franklin India Bluechip Fund-Growth;117.2500;117.2500;119.9500;26-Apr-2006
100471;Franklin India Bluechip Fund-Growth;116.6400;116.6400;119.3200;27-Apr-2006
100471;Franklin India Bluechip Fund-Growth;117.36;117.36;120.06;28-Apr-2006
100471;Franklin India Bluechip Fund-Growth;121.0800;121.0800;123.8700;02-May-2006
100471;Franklin India Bluechip Fund-Growth;121.3200;121.3200;124.1100;03-May-2006
100471;Franklin India Bluechip Fund-Growth;122.1300;122.1300;124.9400;04-May-2006
100471;Franklin India Bluechip Fund-Growth;122.3900;122.3900;125.2100;05-May-2006
100471;Franklin India Bluechip Fund-Growth;122.4400;122.4400;125.2600;08-May-2006
100471;Franklin India Bluechip Fund-Growth;123.0500;123.0500;125.8800;09-May-2006
100471;Franklin India Bluechip Fund-Growth;123.3400;123.3400;126.1800;10-May-2006
100471;Franklin India Bluechip Fund-Growth;122.04;122.04;124.85;11-May-2006
100471;Franklin India Bluechip Fund-Growth;121.0700;121.0700;123.8600;12-May-2006
100471;Franklin India Bluechip Fund-Growth;116.4400;116.4400;119.1200;15-May-2006
100471;Franklin India Bluechip Fund-Growth;116.3400;116.3400;119.0200;16-May-2006
100471;Franklin India Bluechip Fund-Growth;118.3400;118.3400;121.0600;17-May-2006
100471;Franklin India Bluechip Fund-Growth;111.1700;111.1700;113.7300;18-May-2006
100471;Franklin India Bluechip Fund-Growth;107.1900;107.1900;109.6600;19-May-2006
100471;Franklin India Bluechip Fund-Growth;102.0400;102.0400;104.3900;22-May-2006
100471;Franklin India Bluechip Fund-Growth;105.6500;105.6500;108.0800;23-May-2006
100471;Franklin India Bluechip Fund-Growth;103.4700;103.4700;105.8500;24-May-2006
100471;Franklin India Bluechip Fund-Growth;104.0700;104.0700;106.4700;25-May-2006
100471;Franklin India Bluechip Fund-Growth;105.6800;105.6800;108.1100;26-May-2006
100471;Franklin India Bluechip Fund-Growth;106.5100;106.5100;108.9600;29-May-2006
100471;Franklin India Bluechip Fund-Growth;105.5000;105.5000;107.9300;30-May-2006
100471;Franklin India Bluechip Fund-Growth;101.99;101.99;104.34;31-May-2006
100471;Franklin India Bluechip Fund-Growth;98.2200;98.2200;100.4800;01-Jun-2006
100471;Franklin India Bluechip Fund-Growth;101.3200;101.3200;103.6500;02-Jun-2006
100471;Franklin India Bluechip Fund-Growth;99.6700;99.6700;101.9600;05-Jun-2006
100471;Franklin India Bluechip Fund-Growth;97.0300;97.0300;99.2600;06-Jun-2006
100471;Franklin India Bluechip Fund-Growth;94.2700;94.2700;96.4400;07-Jun-2006
