SIP Date,AvgNav,Units,Terms,AmtInvsted,AvgAbsReturns,AvgAbsReturns%
6,24.2391,4950.6688,12,120000,116453.097,-2.956
5,24.2609,4946.2375,12,120000,116348.861,-3.043
3,24.2694,4944.491,12,120000,116307.778,-3.077
4,24.2747,4943.4265,12,120000,116282.739,-3.098
2,24.2829,4941.7482,12,120000,116243.26,-3.131
7,24.3155,4935.1199,12,120000,116087.345,-3.26
14,24.3268,5343.9016,13,130000,125702.994,-3.305
9,24.3477,4928.6015,12,120000,115934.015,-3.388
1,24.3501,4928.1059,12,120000,115922.357,-3.398
28,24.3528,4927.5556,12,120000,115909.412,-3.409
11,24.3544,4927.235,12,120000,115901.871,-3.415
23,24.3574,4926.637,12,120000,115887.804,-3.427
8,24.3618,4925.7446,12,120000,115866.813,-3.444
20,24.365,4925.0911,12,120000,115851.44,-3.457
21,24.369,4924.2947,12,120000,115832.707,-3.473
22,24.3717,4923.7434,12,120000,115819.739,-3.484
19,24.3754,4922.9892,12,120000,115801.998,-3.498
30,24.3787,4512.1396,11,110000,106137.706,-3.511
18,24.3808,4921.9003,12,120000,115776.384,-3.52
12,24.3877,4920.509,12,120000,115743.657,-3.547
25,24.3878,4920.4891,12,120000,115743.189,-3.547
26,24.3896,4920.1292,12,120000,115734.723,-3.554
27,24.3898,4920.0964,12,120000,115733.952,-3.555
10,24.398,4918.4349,12,120000,115694.869,-3.588
24,24.3995,4918.124,12,120000,115687.555,-3.594
16,24.4012,4917.7871,12,120000,115679.631,-3.6
29,24.406,4507.0799,11,110000,106018.688,-3.619
15,24.4073,4916.567,12,120000,115650.931,-3.624
17,24.4123,4915.5518,12,120000,115627.05,-3.644
13,24.4228,4913.448,12,120000,115577.563,-3.685
