Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


PPFAS Mutual Fund
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.9992;9.9992;9.9992;28-May-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;10.0080;10.0080;10.0080;29-May-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;10.0327;10.0327;10.0327;30-May-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;10.0154;10.0154;10.0154;31-May-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;10.0572;10.0572;10.0572;03-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;10.0339;10.0339;10.0339;04-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;10.0273;10.0273;10.0273;05-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;10.0328;10.0328;10.0328;06-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;10.0235;10.0235;10.0235;07-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.9957;9.9957;9.9957;10-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.9540;9.9540;9.9540;11-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.9288;9.9288;9.9288;12-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.9118;9.9118;9.9118;13-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.9549;9.9549;9.9549;14-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.9818;9.9818;9.9818;17-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.9964;9.9964;9.9964;18-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;10.0085;10.0085;10.0085;19-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.9306;9.9306;9.9306;20-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.9161;9.9161;9.9161;21-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.8034;9.8034;9.8034;24-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.7828;9.7828;9.7828;25-Jun-2013
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;9.7543;9.7543;9.7543;26-Jun-2013
